"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-06","0.00",,,"66","79","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-07","0.00",,,"62","69","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-08","0.00",,,"64","79","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-09","0.00",,,"66","88","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-10","0.00",,,"67","77","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-11","0.00",,,"69","79","61"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-12","0.00",,,"68","80","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-13","0.00",,,"63","69","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-14","0.00",,,"62","69","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-15","0.00",,,"65","72","62"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-16","0.00",,,"66","74","61"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-17","0.00",,,"66","80","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-18","0.00",,,"67","83","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-19","0.00",,,"63","75","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-20","0.00",,,"63","71","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-21","0.00",,,"62","71","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-22","0.00",,,"66","73","63"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-23","0.00",,,"65","71","62"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-24","0.00",,,"65","73","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-25","0.00",,,"65","76","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-26","0.00",,,"63","74","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-27","0.00",,,"64","73","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-28","0.00",,,"64","72","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-29","0.00",,,"66","76","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-30","0.00",,,"67","73","61"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-31","0.00",,,"65","75","59"
